Game ID,Round,Computer Choice,Player Choice,Round Winner
901195,9,lizard,lizard,Draw
901195,10,rock,rock,Draw
400327,1,rock,paper,Player
956185,1,lizard,rock,Player
956185,2,paper,spock,Computer
956185,3,paper,rock,Computer
956185,4,paper,spock,Computer
956185,5,lizard,spock,Computer
209155,1,rock,paper,Player
209155,2,lizard,lizard,Draw
209155,3,rock,paper,Player
209155,4,paper,spock,Computer
209155,5,paper,rock,Computer
209155,6,rock,scissors,Computer
209155,7,scissors,scissors,Draw
209155,8,rock,paper,Player
209155,9,spock,scissors,Computer
209155,10,paper,paper,Draw
285094,1,lizard,paper,Computer
285094,2,rock,rock,Draw
285094,3,spock,paper,Player
285094,4,rock,paper,Player
285094,5,spock,rock,Computer
285094,6,lizard,rock,Player
285094,7,rock,rock,Draw
285094,8,spock,paper,Player
285094,9,scissors,rock,Player
285094,10,paper,rock,Computer
991309,1,spock,rock,Computer
991309,2,paper,paper,Draw
991309,3,paper,rock,Computer
360260,1,paper,rock,Computer
360260,2,scissors,paper,Computer
254049,1,rock,scissors,Computer
254049,2,paper,lizard,Player
481518,1,scissors,rock,Player
254049,3,scissors,lizard,Computer
481518,2,lizard,paper,Computer
254049,4,rock,lizard,Computer
481518,3,lizard,lizard,Draw
254049,5,spock,rock,Computer
481518,4,paper,rock,Computer
254049,6,scissors,spock,Player
481518,5,rock,rock,Draw
254049,7,lizard,paper,Computer
481518,6,lizard,scissors,Player
254049,8,paper,rock,Computer
481518,7,lizard,paper,Computer
254049,9,lizard,spock,Computer
481518,8,rock,rock,Draw
254049,10,lizard,spock,Computer
481518,9,paper,scissors,Player
481518,10,rock,paper,Player
406699,1,spock,spock,Draw
406699,2,lizard,rock,Player
888175,1,scissors,lizard,Computer
888175,2,lizard,spock,Computer
888175,3,rock,rock,Draw
888175,4,rock,paper,Player
888175,5,scissors,scissors,Draw
888175,6,lizard,lizard,Draw
888175,7,rock,rock,Draw
888175,8,lizard,rock,Player
888175,9,lizard,paper,Computer
888175,10,rock,rock,Draw
534981,1,scissors,spock,Player
534981,2,lizard,scissors,Player
534981,3,spock,rock,Computer
534981,4,lizard,scissors,Player
534981,5,scissors,paper,Computer
534981,6,rock,rock,Draw
534981,7,lizard,spock,Computer
534981,8,paper,paper,Draw
534981,9,spock,scissors,Computer
534981,10,paper,paper,Draw
23529,1,spock,lizard,Player
357873,1,lizard,scissors,Player
357873,2,lizard,paper,Computer
357873,3,lizard,spock,Computer
357873,4,scissors,rock,Player
357873,5,rock,lizard,Computer
357873,6,scissors,spock,Player
357873,7,spock,rock,Computer
445921,1,scissors,paper,Computer
357873,8,spock,rock,Computer
640309,1,rock,rock,Draw
357873,9,spock,lizard,Player
445921,2,paper,spock,Computer
357873,10,scissors,spock,Player
564693,1,paper,scissors,Player
564693,2,spock,lizard,Player
564693,3,spock,rock,Computer
564693,4,scissors,paper,Computer
564693,5,paper,paper,Draw
564693,6,scissors,paper,Computer
564693,7,lizard,scissors,Player
564693,8,scissors,spock,Player
