Game ID,Round,Computer Choice,Player Choice,Round Winner,Game Winner
370571,6,rock,scissors,Computer,Computer
370571,7,scissors,paper,Computer,Computer
370571,8,spock,rock,Computer,Computer
370571,9,paper,scissors,Player,Computer
370571,10,paper,scissors,Player,Computer
411109,1,scissors,scissors,Draw,Computer
411109,2,lizard,spock,Computer,Computer
411109,3,spock,spock,Draw,Computer
411109,4,paper,lizard,Player,Computer
411109,5,paper,lizard,Player,Computer
411109,6,scissors,spock,Player,Computer
411109,7,spock,rock,Computer,Computer
411109,8,paper,spock,Computer,Computer
411109,9,paper,spock,Computer,Computer
411109,10,rock,lizard,Computer,Computer
415256,1,spock,scissors,Computer,Computer
415256,2,scissors,paper,Computer,Computer
415256,3,paper,spock,Computer,Computer
415256,4,lizard,rock,Player,Computer
415256,5,paper,spock,Computer,Computer
415256,6,lizard,rock,Player,Computer
415256,7,lizard,scissors,Player,Computer
415256,8,rock,scissors,Computer,Computer
415256,9,lizard,rock,Player,Computer
415256,10,paper,rock,Computer,Computer
455993,1,paper,rock,Computer,Computer
455993,2,scissors,lizard,Computer,Computer
455993,3,scissors,scissors,Draw,Computer
455993,4,rock,scissors,Computer,Computer
455993,5,rock,scissors,Computer,Computer
455993,6,rock,rock,Draw,Computer
455993,7,lizard,paper,Computer,Computer
455993,8,scissors,paper,Computer,Computer
455993,9,lizard,paper,Computer,Computer
455993,10,lizard,rock,Player,Computer
459862,1,scissors,spock,Player,Player
459862,2,rock,rock,Draw,Player
459862,3,scissors,lizard,Computer,Player
459862,4,lizard,rock,Player,Player
459862,5,spock,spock,Draw,Player
459862,6,spock,paper,Player,Player
459862,7,scissors,rock,Player,Player
459862,8,spock,scissors,Computer,Player
459862,9,rock,spock,Player,Player
459862,10,lizard,rock,Player,Player
481518,1,scissors,rock,Player,Player
481518,2,lizard,paper,Computer,Player
481518,3,lizard,lizard,Draw,Player
481518,4,paper,rock,Computer,Player
481518,5,rock,rock,Draw,Player
481518,6,lizard,scissors,Player,Player
481518,7,lizard,paper,Computer,Player
481518,8,rock,rock,Draw,Player
481518,9,paper,scissors,Player,Player
481518,10,rock,paper,Player,Player
493701,1,lizard,rock,Player,Draw
493701,2,spock,scissors,Computer,Draw
493701,3,scissors,lizard,Computer,Draw
493701,4,rock,rock,Draw,Draw
493701,5,rock,spock,Player,Draw
493701,6,paper,rock,Computer,Draw
493701,7,spock,rock,Computer,Draw
493701,8,spock,spock,Draw,Draw
493701,9,rock,paper,Player,Draw
493701,10,paper,scissors,Player,Draw
521221,1,spock,spock,Draw,Computer
521221,2,rock,scissors,Computer,Computer
521221,3,spock,paper,Player,Computer
521221,4,spock,paper,Player,Computer
521221,5,paper,paper,Draw,Computer
521221,6,scissors,paper,Computer,Computer
521221,7,rock,scissors,Computer,Computer
521221,8,scissors,lizard,Computer,Computer
521221,9,lizard,spock,Computer,Computer
521221,10,rock,paper,Player,Computer
534981,1,scissors,spock,Player,Computer
534981,2,lizard,scissors,Player,Computer
534981,3,spock,rock,Computer,Computer
534981,4,lizard,scissors,Player,Computer
534981,5,scissors,paper,Computer,Computer
534981,6,rock,rock,Draw,Computer
534981,7,lizard,spock,Computer,Computer
534981,8,paper,paper,Draw,Computer
534981,9,spock,scissors,Computer,Computer
534981,10,paper,paper,Draw,Computer
541187,1,spock,paper,Player,Player
541187,2,lizard,lizard,Draw,Player
541187,3,spock,spock,Draw,Player
541187,4,lizard,paper,Computer,Player
541187,5,paper,scissors,Player,Player
541187,6,paper,spock,Computer,Player
541187,7,rock,rock,Draw,Player
541187,8,lizard,rock,Player,Player
541187,9,rock,spock,Player,Player
541187,10,scissors,lizard,Computer,Player
564610,1,rock,scissors,Computer,Computer
564610,2,rock,lizard,Computer,Computer
564610,3,lizard,rock,Player,Computer
564610,4,spock,spock,Draw,Computer
564610,5,spock,paper,Player,Computer
564610,6,paper,spock,Computer,Computer
564610,7,paper,spock,Computer,Computer
564610,8,spock,spock,Draw,Computer
564610,9,lizard,paper,Computer,Computer
564610,10,rock,spock,Player,Computer
564693,1,paper,scissors,Player,Player
564693,2,spock,lizard,Player,Player
564693,3,spock,rock,Computer,Player
564693,4,scissors,paper,Computer,Player
564693,5,paper,paper,Draw,Player
564693,6,scissors,paper,Computer,Player
564693,7,lizard,scissors,Player,Player
564693,8,scissors,spock,Player,Player
564693,9,paper,paper,Draw,Player
564693,10,scissors,rock,Player,Player
589051,1,paper,scissors,Player,Computer
589051,2,paper,scissors,Player,Computer
589051,3,paper,rock,Computer,Computer
589051,4,scissors,rock,Player,Computer
589051,5,lizard,lizard,Draw,Computer
589051,6,rock,scissors,Computer,Computer
589051,7,paper,rock,Computer,Computer
589051,8,scissors,scissors,Draw,Computer
589051,9,spock,scissors,Computer,Computer
589051,10,rock,scissors,Computer,Computer
624473,1,spock,scissors,Computer,Computer
624473,2,spock,spock,Draw,Computer
624473,3,spock,rock,Computer,Computer
